File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\403.html,65,56,14,0,9,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\404.html,65,56,14,0,9,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\admin.html,51,43,6,0,8,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\adminPanel.html,306,281,6,0,25,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\chat.html,96,84,36,0,12,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\chatBody.html,17,17,2,0,0,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\contact.html,111,98,40,0,13,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\index.html,162,144,52,0,18,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\lectie.html,110,98,36,0,12,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\materiale.html,122,105,36,0,17,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\test.html,120,107,36,0,13,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\contextMenu\contextMenu.css,59,32,27,0,5,0,22,74,22,74
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\contextMenu\contextMenu.js,50,27,22,1,1,0,22,74,22,74
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\gridSystem\gridSystem.css,312,222,153,0,62,0,28,136,28,136
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\helpers\helpers.js,75,60,44,17,1,0,14,123,14,123
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\loader\loader.css,42,12,10,0,2,0,28,122,28,122
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\loader\loader.js,51,22,18,1,1,0,28,122,28,122
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\month\month.php,101,82,52,38,3,0,16,54,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\randomSubtle\randomSubtle.php,19,7,5,0,3,0,9,54,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\scrollSpy\scrollSpy.css,96,57,47,0,11,0,28,121,28,121
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\scrollSpy\scrollSpy.js,63,34,33,5,1,0,28,121,28,121
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\scrollTop\scrollTop.css,38,17,14,0,4,0,17,58,17,58
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\scrollTop\scrollTop.js,55,36,30,4,2,0,17,58,17,58
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\showErrors\showErrors.php,16,5,3,0,3,0,8,26,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\smoothScroll\smoothScroll.js,33,18,13,3,1,1,14,62,14,55
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\tabs\tabs.css,66,35,29,0,6,0,25,75,25,75
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\tabs\tabs.js,35,9,7,0,1,0,25,75,25,75
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\css\chat.css,26,24,21,0,2,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\css\style.css,1453,1220,1011,0,206,4,27,73,1,3
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\admin.js,46,34,26,4,7,0,5,9,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\adminTools.js,652,563,467,12,56,6,33,81,1,2
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\adminVerifyLogged.js,15,10,8,1,3,0,2,2,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\animation.js,12,12,7,1,0,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\contactForm.js,19,14,14,0,3,1,2,3,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\desktop.js,18,11,5,3,4,0,3,3,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\firebase.js,6,6,6,0,0,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\firechat.js,38,29,21,2,5,0,4,7,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\generateLesson.js,63,47,35,2,10,0,6,18,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\generateTest.js,120,100,79,7,12,0,8,18,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\listMaterials.js,59,45,36,1,8,0,6,16,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\menu.js,20,16,13,2,3,0,1,8,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\ro.js,219,219,2,0,0,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\translate.js,16,13,13,0,1,0,2,6,1,4
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\others\Desktop app project\index.html,20,19,6,0,1,0,0,0,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\others\Desktop app project\main.js,21,21,7,2,0,1,0,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminAddAdmin.php,39,25,16,2,8,0,6,19,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminAddLesson.php,37,28,26,0,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminAddTest.php,63,54,52,0,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminDelete.php,26,17,13,1,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminEdit.php,250,222,214,6,16,0,12,49,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminEditLesson.php,37,28,26,0,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminEditTest.php,63,54,52,0,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminGetMaxID.php,18,9,7,0,5,0,4,4,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminList.php,48,38,33,2,5,0,5,8,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminLogin.php,45,27,19,3,10,0,8,27,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminResetContors.php,18,9,7,0,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminStatistics.php,81,50,48,0,16,0,15,39,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\animationChange.php,24,15,11,1,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\animationCheck.php,20,11,7,1,5,0,4,4,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\animationUse.php,9,6,4,0,2,0,1,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\backgroundChange.php,24,15,11,1,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\backgroundList.php,20,11,7,1,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\backgroundUse.php,9,6,4,0,2,0,1,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\connect.php,14,7,5,0,4,0,3,10,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\lesson.php,119,102,92,6,9,0,8,14,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\like.php,16,7,5,0,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\materials.php,71,56,48,4,8,0,7,16,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\test.php,141,116,103,9,13,0,12,21,0,0
